,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN
AET,-0.014756517541437602,0.7954057228463182,0.3754346432162262,0.6514011174647013,0.8663770448864693,0.6353369846420174,0.7275665854718709,0.5637281028470442,0.7869445615584081,0.657608425467604,1.0,-0.4508130242767373,0.7108192188668349,0.06722855796153976,0.6586056493695903,0.7001871048608115,-0.5027547288330124,-0.5211715760140933,0.6849369274359352,-0.36416108404344727
AMG,0.8429215384143255,-0.5824050102375573,0.17099967823670237,-0.8261114072078677,-0.46094862401669606,-0.5976944313757339,-0.7760275214126316,-0.6790345909606783,-0.7301823183448363,-0.8757510403308267,-0.4508130242767373,1.0,-0.4566337241134177,0.6507265908570349,-0.06698888879611183,-0.5860965124785954,0.5120662860068839,0.6861971620771161,-0.28498227226281725,-0.04009742984712516
AFL,-0.1519594901933362,0.8466579653247611,0.469399427339182,0.7111843521611738,0.7830990913724172,0.5410434631140744,0.797408750261311,0.4601403442800528,0.7593012699902383,0.6662065395314944,0.7108192188668349,-0.4566337241134177,1.0,0.06117158121976061,0.7972495886082118,0.8112832225618666,-0.5003232888748175,-0.6916163083689102,0.6029978163623573,-0.4342021035645204
A,0.8177945730113587,-0.019318135563152015,0.5235954332347369,-0.3965286552406645,0.08144289828805307,-0.14265447394239192,-0.24676461750181444,-0.2857890537762121,-0.25039965751821364,-0.45454858785603347,0.06722855796153976,0.6507265908570349,0.06117158121976061,1.0,0.4195264373058935,-0.1296486816365324,0.13258834998845093,0.2814682135838305,0.014793837230161767,-0.24188909920974852
APD,0.2478892758653074,0.6911404601547482,0.6237094826043352,0.46312182035989036,0.7337905878079091,0.40381935812774145,0.5930058323342327,0.1223495319696419,0.4580459734032279,0.3107045928696746,0.6586056493695903,-0.06698888879611183,0.7972495886082118,0.4195264373058935,1.0,0.6826690920222687,-0.4842610951518636,-0.41776241044273543,0.6071370725473958,-0.6061222539414711
AKAM,-0.31440444910771126,0.9022175323412469,0.4588492777896322,0.910712131332532,0.8826225520604735,0.8146933240124881,0.9336978183737507,0.37992554427041075,0.8004139090941099,0.7006822167047231,0.7001871048608115,-0.5860965124785954,0.8112832225618666,-0.1296486816365324,0.6826690920222687,1.0,-0.6841315753394241,-0.866090475093733,0.5662260414375111,-0.33945644005948616
ALK,0.2427421510028819,-0.5846620725492409,-0.34525734627986693,-0.6920468024129057,-0.5879989033117095,-0.5789952270547386,-0.7361705363693087,-0.09140155729018276,-0.4681283436042528,-0.44092624538214575,-0.5027547288330124,0.5120662860068839,-0.5003232888748175,0.13258834998845093,-0.4842610951518636,-0.6841315753394241,1.0,0.6837682487802483,-0.31963432427932786,0.5495752570140907
ALB,0.4876067671557649,-0.7887633843263216,-0.31959343304022547,-0.8598890755980226,-0.6936159142642233,-0.7498749425784845,-0.874329626858877,-0.37339071321770284,-0.7922463356883374,-0.7101936108326885,-0.5211715760140933,0.6861971620771161,-0.6916163083689102,0.2814682135838305,-0.41776241044273543,-0.866090475093733,0.6837682487802483,1.0,-0.3052327012177496,0.23807426139679885
ARE,-0.01273183224753089,0.5736607308277415,0.20398793656886072,0.4970768168527933,0.6521878233412962,0.40893594708621556,0.5519652092169817,0.3247507427252738,0.5164214058263699,0.5091904541664916,0.6849369274359352,-0.28498227226281725,0.6029978163623573,0.014793837230161767,0.6071370725473958,0.5662260414375111,-0.31963432427932786,-0.3052327012177496,1.0,-0.34707495772806085
ALXN,-0.26729979953281874,-0.2202502708868581,-0.34060094413537906,-0.16206766939615155,-0.32454381998659865,0.033703868484019996,-0.288369387499011,0.2861070756395475,-0.061554876906522255,0.03294565441170545,-0.36416108404344727,-0.04009742984712516,-0.4342021035645204,-0.24188909920974852,-0.6061222539414711,-0.33945644005948616,0.5495752570140907,0.23807426139679885,-0.34707495772806085,1.0
